genus,species,family,demersal,benthopelagic,bathydemersal,pelagic,pelagic-neritic,pelagic-oceanic,reef-associated,epipelagic,mesopelagic,bathypelagic,abyssopelagic,marine,freshwater,brackish,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non-migratory,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,min_ph,max_ph,min_dh,max_dh,url
callionymus,marquesensis,callionymidae,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Callionymus_marquesensis.html
pervagor,nigrolineatus,monacanthidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,8.0,25.0,,,,,,,https://www.fishbase.net.br/summary/Pervagor_nigrolineatus.html
pterocaesio,randalli,caesionidae,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,30.0,,,,,,,https://www.fishbase.ca/summary/Pterocaesio_randalli.html
neolissochilus,paucisquamatus,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Neolissochilus_paucisquamatus.html
stomatorhinus,ivindoensis,mormyridae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Stomatorhinus_ivindoensis.html
labrichthys,unilineatus,labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,20.0,,,,,,,https://www.fishbase.de/summary/Labrichthys_unilineatus.html
trachypoma,macracanthus,serranidae,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,?,45.0,,,,,,,https://www.fishbase.net.br/summary/Trachypoma_macracanthus.html
bagre,bagre,ariidae,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,?,50.0,,,,,,,https://www.fishbase.ca/summary/Bagre_bagre.html
platynematichthys,notatus,pimelodidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Platynematichthys_notatus.html
starksia,starcki,labrisomidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,6.0,19.0,,,,,,,https://www.fishbase.ca/summary/Starksia_starcki.html
pterois,mombasae,scorpaenidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,10.0,70.0,40.0,?,,,,,https://www.fishbase.se/summary/Pterois_mombasae.html
brotula,multibarbata,ophidiidae,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,650.0,180.0,220.0,,,,,https://www.fishbase.se/summary/Brotula_multibarbata.html
