genus,species,demersal,marine,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,benthopelagic,freshwater,min_ph,max_ph,min_dh,max_dh,reef-associated,pelagic,amphidromous,brackish,non-migratory,potamodromous,bathydemersal,oceanodromous,pelagic-neritic,anadromous,pelagic-oceanic,bathypelagic,catadromous
ptychocheilus,umpquae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
hybopsis,amnis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
rasbora,spilocerca,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pristilepis,oligolepis,,1.0,14,220,,,,,,,,,1.0,,,,,,,,,,,,
grammistes,sexlineatus,,1.0,1,130,1,20,,,,,,,1.0,,,,,,,,,,,,
neolissochilus,nigrovittatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
centropyge,bispinosa,,1.0,0,60,,,,,,,,,1.0,,,,1.0,,,,,,,,
pseudocheilinus,octotaenia,,1.0,0,50,,,,,,,,,1.0,,,,,,,,,,,,
bathystethus,cultratus,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
istigobius,ornatus,,1.0,0,5,,,,,,,,,1.0,,,1.0,,,,,,,,,
solenostomus,cyanopterus,,1.0,0,25,0,25,,,,,,,1.0,,,,,,,,,,,,
plectorhinchus,vittatus,,1.0,2,25,,,,,,,,,1.0,,,,,,,,,,,,
aulonocara,koningsi,,,3,25,,,1.0,1.0,,,,,,,,,,,,,,,,,
labeobarbus,upembensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cyprinella,panarcys,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cheilodipterus,macrodon,,1.0,0,100,?,30,,,,,,,1.0,,,,,,,,,,,,
scaphiodonichthys,burmanicus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
chrysichthys,ornatus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
mycteroperca,phenax,,1.0,30,100,30,100,,,,,,,1.0,,,1.0,,,,1.0,,,,,
chiloglanis,polypogon,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
neolissochilus,paucisquamatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
ameiurus,nebulosus,1.0,,0,12,,,,1.0,,,,,,,,,,,,,,,,,
hemibrycon,beni,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
ostracion,solorensis,,1.0,1,20,,,,,,,,,1.0,,,,,,,,,,,,
amblyraja,jenseni,,1.0,165,3000,,,,,,,,,,,,,,,1.0,,,,,,
lepomis,symmetricus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
pomacentrus,aquilus,,1.0,0,15,,,,,,,,,1.0,,,,1.0,,,,,,,,
apogonichthys,perdix,,1.0,1,65,1,4,,,,,,,1.0,,,,,,,,,,,,
sundasalanx,praecox,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
hyphessobrycon,compressus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
canthigaster,solandri,,1.0,10,36,,,,,,,,,1.0,,,,,,,,,,,,
pseudobalistes,fuscus,,1.0,30,50,,,,,,,,,1.0,,,,,,,,,,,,
hybopsis,dorsalis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lobocheilos,rhabdoura,,,,,,,1.0,1.0,6.5,6.5,10.0,10.0,,,,,,,,,,,,,
nibea,soldado,1.0,1.0,1,40,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
mystus,cavasius,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
chlorurus,troschelii,,1.0,5,25,,,,,,,,,1.0,,,,,,,,,,,,
badis,badis,,,,,,,1.0,1.0,6.0,6.0,5.0,5.0,,,,,,,,,,,,,
notropis,buchanani,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,petersoni,,,,,,,1.0,1.0,7.2,7.2,10.0,10.0,,,,,,,,,,,,,
atherina,lopeziana,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
pseudorhombus,malayanus,1.0,1.0,20,27,,,,,,,,,,,,,,,,,,,,,
iniistius,umbrilatus,,1.0,6,76,,,,,,,,,1.0,,,,1.0,,,,,,,,
ptychochromis,oligacanthus,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
parastromateus,niger,,1.0,15,105,15,40,,,,,,,1.0,,1.0,1.0,,,,,,,,,
schilbe,bocagii,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
blenniella,gibbifrons,,1.0,0,4,,,,,,,,,1.0,,,,,,,,,,,,
synodus,jaculum,,1.0,2,100,,,,,,,,,1.0,,,,,,,,,,,,
psectrogaster,curviventris,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
